LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.524,13.268,7.3,2.7,57.3,57.8393,-54.858,16.55,2.9e-05,18-01-2017 11:20
42.599,13.058,4.9,2.6,46.2143,46.5381,-46.212,-0.461,4.2e-05,18-01-2017 11:21
42.511,13.322,11.7,2.9,60.2404,61.4793,-56.469,20.98,3.9e-05,18-01-2017 11:22
42.539,13.269,12.0,2.3,55.7514,57.1531,-53.194,16.69,1.1e-05,18-01-2017 11:23
42.531,13.295,11.4,2.6,57.3338,58.5721,-54.17,18.782,2.2e-05,18-01-2017 11:26
42.553,13.227,3.5,2.6,53.2561,53.4121,-51.569,13.298,2.9e-05,18-01-2017 11:30
42.575,13.26,13.3,2.8,51.721,53.5511,-49.181,16.009,4.5e-05,18-01-2017 11:34
42.51,13.3,11.1,3.3,59.6162,60.7496,-56.455,19.155,0.000101,18-01-2017 11:34
42.573,13.299,10.4,2.4,53.0553,54.1795,-49.457,19.205,1.7e-05,18-01-2017 11:38
42.561,13.263,12.9,2.7,53.3212,54.9988,-50.786,16.247,3.3e-05,18-01-2017 11:39
42.519,13.32,17.6,2.4,59.2724,61.9978,-55.499,20.81,1.1e-05,18-01-2017 11:41
42.505,13.308,15.3,2.4,60.4299,62.4816,-57.08,19.842,1.1e-05,18-01-2017 11:44
42.549,13.314,9.9,2.6,56.0539,57.0252,-52.214,20.39,2.4e-05,18-01-2017 11:51
42.533,13.282,13.8,2.9,56.7655,58.5586,-53.927,17.727,4.5e-05,18-01-2017 11:56
42.536,13.272,13.7,3.4,56.1906,57.9768,-53.588,16.904,0.000142,18-01-2017 12:01
42.544,13.292,11.1,3.9,55.905,57.1121,-52.733,18.565,0.000419,18-01-2017 12:01
42.553,13.31,10.2,2.8,55.5091,56.5461,-51.731,20.129,3.9e-05,18-01-2017 12:03
42.561,13.28,11.3,2.9,53.8145,55.1102,-50.826,17.683,5.3e-05,18-01-2017 12:05
