animal.id,sex,DT,difft,stepl,vel
3,f,9/7/2017 16:02,4,583.9749665,145.9937416
3,f,9/7/2017 20:01,3.983333333,95.07522021,23.86825612
3,f,9/7/2017 23:01,3,115.3685861,38.45619538
3,f,9/8/2017 3:01,4,68.05570553,17.01392638
3,f,9/8/2017 7:02,4.016666667,132.6588648,33.02710326
3,f,9/8/2017 11:02,4,211.0106325,52.75265813
3,f,9/8/2017 15:01,3.983333333,237.0949369,59.52174147
3,f,9/8/2017 19:01,4,201.8787017,50.46967543
3,f,9/8/2017 23:01,4,559.3132534,139.8283133
3,f,9/9/2017 2:01,3,481.781823,160.593941
3,f,9/9/2017 6:01,4,547.7076997,136.9269249
3,f,9/9/2017 10:01,4,89.77567646,22.44391912
3,f,9/9/2017 14:01,4,103.1142058,25.77855145
3,f,9/9/2017 18:01,4,106.238048,26.55951201
3,f,9/9/2017 22:01,4,104.1238987,26.03097467
3,f,9/10/2017 1:01,3,70.25482349,23.4182745
3,f,9/10/2017 5:01,4,195.4562845,48.86407114
3,f,9/10/2017 9:01,4,262.1440779,65.53601949
3,f,9/10/2017 13:01,4,254.6405988,63.6601497
3,f,9/10/2017 21:01,8,417.9792217,52.24740271
3,f,9/11/2017 0:01,3,4.149406225,1.383135408
3,f,9/11/2017 4:01,4,35.26871354,8.817178386
3,f,9/11/2017 8:02,4.016666667,1410.929617,351.2687844
3,f,9/11/2017 12:02,4,660.2881545,165.0720386
3,f,9/11/2017 16:02,4,25.2159096,6.303977399
3,f,9/11/2017 20:01,3.983333333,44.5336239,11.17998926
3,f,9/11/2017 23:01,3,7.757579952,2.585859984
3,f,9/12/2017 3:01,4,21.45311031,5.363277577
3,f,9/12/2017 7:02,4.016666667,90.29553117,22.48021523
3,f,9/12/2017 11:02,4,116.9186985,29.22967464
3,f,9/12/2017 15:01,3.983333333,148.5356344,37.28928061
3,f,9/12/2017 19:01,4,153.6499121,38.41247802
3,f,9/12/2017 23:02,4.016666667,12.44879986,3.099286271
3,f,9/13/2017 2:01,2.983333333,17.45130969,5.849601014
3,f,9/13/2017 6:01,4,4.542991329,1.135747832
3,f,9/13/2017 10:02,4.016666667,622.9386838,155.088469
3,f,9/13/2017 14:02,4,248.3941551,62.09853878
3,f,9/13/2017 18:01,3.983333333,434.9931935,109.2033122
3,f,9/13/2017 22:01,4,57.51452925,14.37863231
3,f,9/14/2017 1:01,3,22.71493871,7.571646237
3,f,9/14/2017 5:01,4,7.457812791,1.864453198
3,f,9/14/2017 9:02,4.016666667,1105.704999,275.2792529
3,f,9/14/2017 13:02,4,191.3051921,47.82629802
3,f,9/14/2017 17:02,4,605.2435607,151.3108902
3,f,9/14/2017 21:01,3.983333333,208.8586463,52.43313296
3,f,9/15/2017 0:01,3,121.2474647,40.41582157
3,f,9/15/2017 4:01,4,13.58320103,3.395800257
3,f,9/15/2017 8:01,4,431.0940794,107.7735198
3,f,9/15/2017 12:01,4,550.7898637,137.6974659
3,f,9/15/2017 16:01,4,60.1265756,15.0316439
3,f,9/15/2017 20:01,4,772.9050237,193.2262559
3,f,9/15/2017 23:01,3,3.99885301,1.332951003
3,f,9/16/2017 3:01,4,354.5313674,88.63284184
3,f,9/16/2017 7:01,4,14.94763027,3.736907567
3,f,9/16/2017 11:02,4.016666667,1438.103714,358.0341196
3,f,9/16/2017 15:01,3.983333333,176.2933376,44.25774165
3,f,9/16/2017 19:01,4,267.2129434,66.80323585
3,f,9/16/2017 23:01,4,251.1486381,62.78715951
3,f,9/17/2017 2:01,3,137.3831246,45.79437486
3,f,9/17/2017 6:01,4,96.68730402,24.171826
3,f,9/17/2017 10:02,4.016666667,80.65393001,20.0798166
3,f,9/17/2017 14:01,3.983333333,391.143992,98.19514442
3,f,9/17/2017 18:01,4,106.0504541,26.51261352
3,f,9/17/2017 22:01,4,57.38024572,14.34506143
3,f,9/18/2017 1:01,3,4.571621478,1.523873826
3,f,9/18/2017 5:01,4,1.492255349,0.373063837
3,f,9/18/2017 9:01,4,98.890995,24.72274875
3,f,9/18/2017 13:01,4,128.8370239,32.20925597
3,f,9/18/2017 17:01,4,1444.270859,361.0677148
3,f,9/18/2017 21:01,4,337.8404693,84.46011732
3,f,9/19/2017 0:01,3,144.2518803,48.08396011
3,f,9/19/2017 4:01,4,122.6359499,30.65898747
3,f,9/19/2017 8:01,4,108.5745565,27.14363914
3,f,9/19/2017 12:01,4,747.3369922,186.834248
3,f,9/19/2017 16:01,4,486.9659308,121.7414827
3,f,9/19/2017 20:02,4.016666667,4.861776873,1.210400881
3,f,9/19/2017 23:01,2.983333333,98.76161777,33.10445288
